12B;Hu_b1__Fol_Hung_1216_0043
13A;Hu_b1__Fol_Hung_1216_0044
13B;Hu_b1__Fol_Hung_1216_0045
14A;Hu_b1__Fol_Hung_1216_0046
14A;Hu_b1__Fol_Hung_1216_0046
18A;Hu_b1__Fol_Hung_1216_0058
18A;Hu_b1__Fol_Hung_1216_0062
19A;Hu_b1__Fol_Hung_1216_0064
19B;Hu_b1__Fol_Hung_1216_0065
20B;Hu_b1__Fol_Hung_1216_0067
21B;Hu_b1__Fol_Hung_1216_0069
22B;Hu_b1__Fol_Hung_1216_0071
23A;Hu_b1__Fol_Hung_1216_0072
23B;Hu_b1__Fol_Hung_1216_0073
24B;Hu_b1__Fol_Hung_1216_0075
25A;Hu_b1__Fol_Hung_1216_0076
25B;Hu_b1__Fol_Hung_1216_0077
26A;Hu_b1__Fol_Hung_1216_0078
27A;Hu_b1__Fol_Hung_1216_0080
27B;Hu_b1__Fol_Hung_1216_0081
28B;Hu_b1__Fol_Hung_1216_0083
29A;Hu_b1__Fol_Hung_1216_0084
30A;Hu_b1__Fol_Hung_1216_0086
31A;Hu_b1__Fol_Hung_1216_0088
32A;Hu_b1__Fol_Hung_1216_0090
32A;Hu_b1__Fol_Hung_1216_0090
33B;Hu_b1__Fol_Hung_1216_0095
34B;Hu_b1__Fol_Hung_1216_0097
35A;Hu_b1__Fol_Hung_1216_0098
36A;Hu_b1__Fol_Hung_1216_0100
37A;Hu_b1__Fol_Hung_1216_0102
38A;Hu_b1__Fol_Hung_1216_0104
38B;Hu_b1__Fol_Hung_1216_0105
39A;Hu_b1__Fol_Hung_1216_0106
40A;Hu_b1__Fol_Hung_1216_0108
40B;Hu_b1__Fol_Hung_1216_0109
41B;Hu_b1__Fol_Hung_1216_0111
42A;Hu_b1__Fol_Hung_1216_0112
43A;Hu_b1__Fol_Hung_1216_0118
44A;Hu_b1__Fol_Hung_1216_0120
45A;Hu_b1__Fol_Hung_1216_0126
45B;Hu_b1__Fol_Hung_1216_0127
46A;Hu_b1__Fol_Hung_1216_0128
46B;Hu_b1__Fol_Hung_1216_0129
47B;Hu_b1__Fol_Hung_1216_0133
48A;Hu_b1__Fol_Hung_1216_0134
49A;Hu_b1__Fol_Hung_1216_0136
50A;Hu_b1__Fol_Hung_1216_0140
51B;Hu_b1__Fol_Hung_1216_0149
52B;Hu_b1__Fol_Hung_1216_0151
53B;Hu_b1__Fol_Hung_1216_0153
54B;Hu_b1__Fol_Hung_1216_0155
65A;Hu_b1__Fol_Hung_1216_0178
65B;Hu_b1__Fol_Hung_1216_0179
65B;Hu_b1__Fol_Hung_1216_0179
66A;Hu_b1__Fol_Hung_1216_0180
66A;Hu_b1__Fol_Hung_1216_0181
66B;Hu_b1__Fol_Hung_1216_0181
67A;Hu_b1__Fol_Hung_1216_0182
67A;Hu_b1__Fol_Hung_1216_0182
67B;Hu_b1__Fol_Hung_1216_0183
67B;Hu_b1__Fol_Hung_1216_0183
68A;Hu_b1__Fol_Hung_1216_0184
80A;Hu_b1__Fol_Hung_1216_0228
80B;Hu_b1__Fol_Hung_1216_0229















